"SAMPLE_ID";"Formation_name";"orig.form.nr";"form.nr";"K1";"K2";"K.mid";"Lat";"Long";"Data_collection_1";"Data_collection_2";"Total";"num.with.colonies";"std.weight";"std.area";"Species_Aimulosia_marsupium";"Species_Antarctothoa_tongima";"Species_Arachnopusia_unicornis";"Species_Bitectipora_rostrata";"Species_Calloporina_angustipora";"Species_Escharella_spinosissima";"Species_Escharoides_angela";"Species_Escharoides_excavata";"Species_Exochella_armata";"Species_Exochella_conjuncta";"Species_Fenestrulina_reticulata";"Species_Figularia_carinata";"Species_Hippomenella_vellicata";"Species_Microporella_aff_speculum";"Species_Microporella_agonistes";"Species_Microporella_discors";"Species_Microporella_intermedia";"Species_Microporella_rusti";"Species_Microporella_speculum";"Species_Prenantia_firmata";"Species_Steginoporella_magnifica";"Species_Superspecies";"Unidentified_Microporella";"Genus_Aimulosia";"Genus_Antarctothoa";"Genus_Arachnopusia";"Genus_Bitectipora";"Genus_Calloporina";"Genus_Escharella";"Genus_Escharoides";"Genus_Exochella";"Genus_Fenestrulina";"Genus_Figularia";"Genus_Hippomenella";"Genus_Microporella";"Genus_Prenantia";"Genus_Steginoporella"
"73";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.8576666666667;174.788366666667;"MHR";"EDM";30;0;90.0403714973251;66.5708399589543;2;1;7;0;17;0;1;23;0;0;4;0;7;0;12;0;0;0;0;0;1;135;8;2;1;7;0;17;0;24;0;4;0;7;20;0;1
"74";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.8576333333333;174.787483333333;"MHR";"EDM";30;0;29.6167442276714;33.7739346076179;1;2;0;0;1;0;0;8;0;0;0;0;0;0;3;0;0;0;0;0;13;93;0;1;2;0;0;1;0;8;0;0;0;0;3;0;13
"75";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.8585;174.7835;"MHR";"EDM";30;0;97.2021087915128;67.1285758286828;0;50;8;3;3;4;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;156;0;0;50;8;3;3;4;12;0;0;0;0;0;0;0
"76";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.85915;174.781883333333;"MHR";"EDM";30;0;60.3122043519395;49.564122336714;6;12;6;0;1;15;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;113;0;6;12;6;0;1;15;0;0;1;0;0;4;0;0
"77";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.85995;174.780816666667;"MHR";"EDM";30;0;47.6701867430344;48.0453203113326;13;10;19;0;0;5;0;7;0;0;0;0;0;0;1;0;0;0;0;0;0;56;0;13;10;19;0;0;5;7;0;0;0;0;1;0;0
"78";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.8604333333333;174.780233333333;"MHR";"EDM";30;0;32.4861285126186;36.5707880853924;5;1;3;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;16;0;5;1;3;0;1;0;0;0;2;0;0;0;0;0
"79";"Upper Castlecliff Shellbed";4;9;0.38;0.4;0.39;39.9222;174.961883333333;"MHR";"EDM";50;0;100.214038541853;90.8457575496726;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;32;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0
"8";"Tainui Shellbed";7;7;0.43;0.51;0.47;39.9176833333333;174.955783333333;"MHR";"EDM";50;0;46.8908478014438;56.8930493971284;1;0;1;0;4;0;0;0;0;1;0;0;1;0;4;0;0;0;2;0;0;32;1;1;0;1;0;4;0;0;1;0;0;1;7;0;0
"80";"Upper Castlecliff Shellbed";4;9;0.38;0.4;0.39;39.90475;174.93755;"MHR";"EDM";50;0;51.0858540659865;60.7742160473419;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"81";"Shakespeare Cliff Basal Sand Shellbed";5;8;0.4;0.43;0.415;39.90465;174.937766666667;"MHR";"EDM";50;0;164.029923963699;131.456049175316;1;3;3;0;10;0;0;0;0;0;0;0;0;0;7;0;0;0;10;0;13;177;3;1;3;3;0;10;0;0;0;0;0;0;20;0;13
"82";"Lower Castlecliff Shellbed";10;6;0.52;0.58;0.55;39.90475;174.93755;"MHR";"EDM";50;0;28.2110153085262;39.0643415693182;9;4;6;0;15;0;0;0;0;23;5;0;2;2;21;0;0;0;34;0;0;414;14;9;4;6;0;15;0;0;23;5;0;2;71;0;0
